Postcode,Datum,Soort
1011,11-07-2023,Woninginbraak
1011,12-06-2023,Woninginbraak
1011,12-05-2023,Woninginbraak
1011,25-04-2023,Woninginbraak
1012,14-07-2023,Woninginbraak
1012,14-07-2023,Woninginbraak
1012,12-07-2023,Woninginbraak
1012,08-07-2023,Poging tot woninginbraak
1012,22-05-2023,Woninginbraak
1012,15-05-2023,Woninginbraak
1012,30-04-2023,Woninginbraak
1012,28-04-2023,Poging tot woninginbraak
1012,28-04-2023,Woninginbraak
1012,27-04-2023,Woninginbraak
1012,27-04-2023,Woninginbraak
1013,19-07-2023,Woninginbraak
1013,12-07-2023,Woninginbraak
1013,09-07-2023,Woninginbraak
1013,01-07-2023,Woninginbraak
1013,17-06-2023,Poging tot woninginbraak
1013,17-06-2023,Woninginbraak
1013,03-06-2023,Woninginbraak
1013,31-05-2023,Poging tot woninginbraak
1013,28-05-2023,Woninginbraak
1013,09-05-2023,Woninginbraak
1013,07-05-2023,Woninginbraak
1013,30-04-2023,Woninginbraak
1013,30-04-2023,Woninginbraak
1013,29-04-2023,Woninginbraak
1013,27-04-2023,Poging tot woninginbraak
1014,24-06-2023,Woninginbraak
1015,12-07-2023,Woninginbraak
1015,11-07-2023,Woninginbraak
1015,10-07-2023,Woninginbraak
1015,30-06-2023,Woninginbraak
1015,09-06-2023,Woninginbraak
1015,09-06-2023,Woninginbraak
1015,24-05-2023,Woninginbraak
1015,23-05-2023,Woninginbraak
1015,12-05-2023,Woninginbraak
1015,10-05-2023,Woninginbraak
1016,15-07-2023,Woninginbraak
1016,11-07-2023,Woninginbraak
1016,08-07-2023,Woninginbraak
1016,05-07-2023,Poging tot woninginbraak
1016,04-07-2023,Woninginbraak
1016,26-06-2023,Woninginbraak
1016,31-05-2023,Woninginbraak
1016,25-05-2023,Woninginbraak
1016,16-05-2023,Woninginbraak
1016,15-05-2023,Woninginbraak
1016,11-05-2023,Woninginbraak
1016,07-05-2023,Woninginbraak
1016,07-05-2023,Woninginbraak
1016,07-05-2023,Woninginbraak
1016,02-05-2023,Woninginbraak
1017,16-07-2023,Poging tot woninginbraak
1017,13-07-2023,Woninginbraak
1017,22-06-2023,Woninginbraak
1017,07-06-2023,Woninginbraak
1017,19-05-2023,Poging tot woninginbraak
1017,11-05-2023,Woninginbraak
1018,19-07-2023,Woninginbraak
1018,17-07-2023,Woninginbraak
1018,17-07-2023,Woninginbraak
1018,10-07-2023,Woninginbraak
1018,23-06-2023,Woninginbraak
1018,04-05-2023,Woninginbraak
1018,29-04-2023,Woninginbraak
1018,25-04-2023,Woninginbraak
1019,10-07-2023,Woninginbraak
1019,06-07-2023,Woninginbraak
1019,13-05-2023,Poging tot woninginbraak
1019,09-05-2023,Poging tot woninginbraak
1019,02-05-2023,Woninginbraak
1021,16-07-2023,Woninginbraak
1021,27-05-2023,Woninginbraak
1021,11-05-2023,Woninginbraak
1022,11-07-2023,Woninginbraak
1023,18-07-2023,Poging tot woninginbraak
1023,08-07-2023,Woninginbraak
1023,07-07-2023,Poging tot woninginbraak
1023,17-06-2023,Poging tot woninginbraak
1024,18-07-2023,Poging tot woninginbraak
1024,16-07-2023,Woninginbraak
1024,20-04-2023,Woninginbraak
1025,07-07-2023,Woninginbraak
1025,16-06-2023,Woninginbraak
1025,01-06-2023,Woninginbraak
1025,03-05-2023,Woninginbraak
1031,30-06-2023,Woninginbraak
1031,18-06-2023,Woninginbraak
1031,26-05-2023,Woninginbraak
1031,22-05-2023,Woninginbraak
1032,28-06-2023,Woninginbraak
1032,17-06-2023,Poging tot woninginbraak
1033,17-07-2023,Woninginbraak
1033,10-07-2023,Woninginbraak
1033,08-07-2023,Woninginbraak
1033,30-06-2023,Poging tot woninginbraak
1033,03-06-2023,Poging tot woninginbraak
1033,02-06-2023,Woninginbraak
1033,01-06-2023,Woninginbraak
1033,27-05-2023,Woninginbraak
1033,17-05-2023,Woninginbraak
1033,06-05-2023,Poging tot woninginbraak
1034,06-07-2023,Woninginbraak
1034,11-06-2023,Woninginbraak
1034,30-04-2023,Woninginbraak
1035,01-07-2023,Woninginbraak
1035,14-06-2023,Poging tot woninginbraak
1035,30-05-2023,Poging tot woninginbraak
1035,27-05-2023,Woninginbraak
1035,26-05-2023,Woninginbraak
1043,27-04-2023,Woninginbraak
1051,13-07-2023,Woninginbraak
1051,12-07-2023,Woninginbraak
1051,25-06-2023,Woninginbraak
1052,16-07-2023,Woninginbraak
1052,17-06-2023,Woninginbraak
1052,11-06-2023,Woninginbraak
1052,09-06-2023,Woninginbraak
1052,21-05-2023,Woninginbraak
1052,14-05-2023,Woninginbraak
1052,29-04-2023,Woninginbraak
1053,10-07-2023,Woninginbraak
1053,05-07-2023,Woninginbraak
1053,02-07-2023,Woninginbraak
1053,01-07-2023,Poging tot woninginbraak
1053,30-06-2023,Woninginbraak
1053,21-06-2023,Woninginbraak
1053,14-06-2023,Poging tot woninginbraak
1053,13-06-2023,Woninginbraak
1053,03-06-2023,Woninginbraak
1053,25-05-2023,Woninginbraak
1054,14-07-2023,Poging tot woninginbraak
1054,11-07-2023,Woninginbraak
1054,29-06-2023,Woninginbraak
1054,20-06-2023,Poging tot woninginbraak
1054,04-06-2023,Woninginbraak
1054,27-05-2023,Woninginbraak
1054,15-05-2023,Woninginbraak
1054,14-05-2023,Woninginbraak
1054,14-05-2023,Woninginbraak
1054,06-05-2023,Woninginbraak
1054,04-05-2023,Woninginbraak
1054,24-04-2023,Woninginbraak
1055,08-07-2023,Woninginbraak
1055,02-07-2023,Poging tot woninginbraak
1055,26-06-2023,Woninginbraak
1055,18-06-2023,Woninginbraak
1055,09-06-2023,Woninginbraak
1055,23-05-2023,Woninginbraak
1055,19-05-2023,Poging tot woninginbraak
1055,26-04-2023,Poging tot woninginbraak
1056,22-06-2023,Woninginbraak
1056,16-06-2023,Woninginbraak
1056,04-06-2023,Woninginbraak
1056,17-05-2023,Poging tot woninginbraak
1056,09-05-2023,Woninginbraak
1056,27-04-2023,Woninginbraak
1056,25-04-2023,Woninginbraak
1057,22-06-2023,Woninginbraak
1057,17-06-2023,Woninginbraak
1057,15-06-2023,Poging tot woninginbraak
1057,10-05-2023,Woninginbraak
1057,22-04-2023,Woninginbraak
1058,05-06-2023,Poging tot woninginbraak
1058,31-05-2023,Woninginbraak
1058,23-05-2023,Poging tot woninginbraak
1058,23-05-2023,Woninginbraak
1058,23-05-2023,Woninginbraak
1058,23-05-2023,Woninginbraak
1058,22-05-2023,Poging tot woninginbraak
1058,09-05-2023,Woninginbraak
1059,27-05-2023,Poging tot woninginbraak
1059,26-05-2023,Woninginbraak
1059,23-05-2023,Woninginbraak
1060,24-05-2023,Woninginbraak
1061,22-06-2023,Woninginbraak
1061,11-06-2023,Poging tot woninginbraak
1061,29-05-2023,Woninginbraak
1062,17-07-2023,Woninginbraak
1062,11-07-2023,Woninginbraak
1062,22-06-2023,Woninginbraak
1062,10-06-2023,Woninginbraak
1062,05-05-2023,Woninginbraak
1062,30-04-2023,Woninginbraak
1063,10-07-2023,Woninginbraak
1063,01-07-2023,Woninginbraak
1063,17-05-2023,Poging tot woninginbraak
1064,12-07-2023,Poging tot woninginbraak
1064,11-07-2023,Woninginbraak
1064,25-06-2023,Woninginbraak
1064,29-05-2023,Woninginbraak
1064,25-05-2023,Woninginbraak
1064,05-05-2023,Woninginbraak
1064,25-04-2023,Woninginbraak
1065,13-06-2023,Woninginbraak
1066,01-07-2023,Poging tot woninginbraak
1066,30-06-2023,Woninginbraak
1066,07-06-2023,Poging tot woninginbraak
1066,06-06-2023,Woninginbraak
1066,02-06-2023,Woninginbraak
1066,26-05-2023,Woninginbraak
1066,11-05-2023,Poging tot woninginbraak
1066,10-05-2023,Woninginbraak
1066,06-05-2023,Poging tot woninginbraak
1066,03-05-2023,Woninginbraak
1066,29-04-2023,Woninginbraak
1066,27-04-2023,Woninginbraak
1067,07-07-2023,Poging tot woninginbraak
1067,25-06-2023,Woninginbraak
1067,13-06-2023,Woninginbraak
1067,10-06-2023,Woninginbraak
1067,21-05-2023,Woninginbraak
1067,17-05-2023,Woninginbraak
